iter	Passed	Remaining
0	11	11058
1	18	9177
2	25	8430
3	32	8091
4	40	8104
5	48	7960
6	55	7898
7	63	7840
8	70	7764
9	78	7722
10	87	7868
11	97	7994
12	104	7939
13	111	7875
14	119	7862
15	127	7810
16	137	7967
17	148	8127
18	156	8101
19	164	8056
20	172	8022
21	181	8053
22	189	8034
23	199	8122
24	207	8095
25	218	8186
26	228	8245
27	236	8206
28	245	8232
29	253	8196
30	261	8172
31	269	8143
32	276	8116
33	284	8082
34	292	8051
35	299	8017
36	306	7973
37	313	7939
38	321	7910
39	328	7890
40	336	7862
41	343	7838
42	350	7804
43	357	7775
44	365	7752
45	372	7729
46	381	7740
47	388	7709
48	396	7688
49	403	7671
50	411	7657
51	418	7635
52	426	7612
53	433	7592
54	441	7580
55	448	7555
56	455	7529
57	463	7522
58	470	7508
59	477	7484
60	484	7465
61	492	7455
62	500	7446
63	508	7436
64	516	7423
65	524	7421
66	531	7406
67	540	7404
68	547	7387
69	554	7372
70	562	7361
71	569	7344
72	578	7339
73	585	7323
74	592	7308
75	600	7295
76	607	7278
77	614	7265
78	624	7277
79	633	7290
80	643	7304
81	655	7334
82	669	7391
83	682	7441
84	690	7431
85	700	7447
86	708	7438
87	716	7427
88	725	7422
89	732	7403
90	741	7408
91	750	7403
92	757	7385
93	764	7369
94	771	7352
95	779	7338
96	786	7321
97	795	7320
98	802	7302
99	809	7285
100	816	7271
101	824	7254
102	831	7245
103	839	7228
104	846	7216
105	854	7203
106	862	7202
107	870	7192
108	878	7180
109	885	7166
110	892	7150
111	900	7136
112	907	7123
113	915	7111
114	922	7098
115	929	7087
116	937	7075
117	945	7064
118	953	7062
119	961	7053
120	969	7040
121	976	7030
122	984	7021
123	991	7007
124	999	6995
125	1006	6982
126	1014	6970
127	1021	6961
128	1028	6946
129	1036	6934
130	1044	6926
131	1051	6915
132	1058	6901
133	1067	6898
134	1074	6887
135	1082	6879
136	1089	6864
137	1097	6855
138	1105	6845
139	1112	6834
140	1122	6839
141	1133	6847
142	1140	6835
143	1147	6823
144	1155	6813
145	1162	6801
146	1170	6793
147	1178	6783
148	1185	6773
149	1193	6762
150	1200	6750
151	1207	6736
152	1216	6732
153	1225	6732
154	1234	6731
155	1242	6723
156	1251	6718
157	1259	6713
158	1267	6703
159	1274	6690
160	1282	6683
161	1290	6674
162	1298	6668
163	1305	6656
164	1314	6650
165	1322	6646
166	1331	6641
167	1339	6633
168	1347	6627
169	1355	6617
170	1365	6621
171	1374	6614
172	1382	6607
173	1389	6597
174	1398	6593
175	1406	6584
176	1414	6575
177	1421	6566
178	1430	6562
179	1438	6551
180	1446	6546
181	1453	6533
182	1466	6547
183	1480	6565
184	1492	6575
185	1503	6578
186	1515	6588
187	1531	6612
188	1552	6663
189	1565	6675
190	1581	6697
191	1593	6706
192	1605	6713
193	1617	6719
194	1627	6718
195	1639	6726
196	1651	6732
197	1663	6739
198	1674	6738
199	1687	6748
200	1697	6749
201	1707	6744
202	1716	6740
203	1730	6753
204	1740	6749
205	1749	6743
206	1758	6736
207	1766	6725
208	1775	6719
209	1783	6708
210	1790	6696
211	1799	6687
212	1807	6676
213	1815	6668
214	1824	6662
215	1832	6652
216	1841	6643
217	1850	6639
218	1859	6629
219	1866	6618
220	1875	6612
221	1883	6600
222	1892	6593
223	1901	6586
224	1911	6582
225	1923	6586
226	1931	6575
227	1941	6572
228	1948	6561
229	1958	6555
